Location,Target,Value
AL,Target,0.03763673
AL,Target,0.05313474
AL,Target,0.05974007
AL,Target,0.06346874
AL,Target,0.06553015
AL,Target,0.06643325
AL,Target,0.06644595
AL,Target,0.06572654
AL,Target,0.06437444
AL,Target,0.06245327
AL,Target,0.06000244
AL,Target,0.05704294
AL,Target,0.05357983
AL,Target,0.04960214
AL,Target,0.04507996
AL,Target,0.03995708
AL,Target,0.03413455
AL,Target,0.02743021
AL,Target,0.01945203
AL,Target,0.00877492
AK,Target,0.03763673
AK,Target,0.05313474
AK,Target,0.05974007
AK,Target,0.06346874
AK,Target,0.06553015
AK,Target,0.06643325
AK,Target,0.06644595
AK,Target,0.06572654
AK,Target,0.06437444
AK,Target,0.06245327
AK,Target,0.06000244
AK,Target,0.05704294
AK,Target,0.05357983
AK,Target,0.04960214
AK,Target,0.04507996
AK,Target,0.03995708
AK,Target,0.03413455
AK,Target,0.02743021
AK,Target,0.01945203
AK,Target,0.00877492
