Location,Target,Value
AL,Target,0.09750000
AL,Target,0.09250000
AL,Target,0.08750000
AL,Target,0.08250000
AL,Target,0.07750000
AL,Target,0.07250000
AL,Target,0.06750000
AL,Target,0.06250000
AL,Target,0.05750000
AL,Target,0.05250000
AL,Target,0.04750000
AL,Target,0.04250000
AL,Target,0.03750000
AL,Target,0.03250000
AL,Target,0.02750000
AL,Target,0.02250000
AL,Target,0.01750000
AL,Target,0.01250000
AL,Target,0.00750000
AL,Target,0.00250000
AK,Target,0.09750000
AK,Target,0.09250000
AK,Target,0.08750000
AK,Target,0.08250000
AK,Target,0.07750000
AK,Target,0.07250000
AK,Target,0.06750000
AK,Target,0.06250000
AK,Target,0.05750000
AK,Target,0.05250000
AK,Target,0.04750000
AK,Target,0.04250000
AK,Target,0.03750000
AK,Target,0.03250000
AK,Target,0.02750000
AK,Target,0.02250000
AK,Target,0.01750000
AK,Target,0.01250000
AK,Target,0.00750000
AK,Target,0.00250000
